Council name	New Zealand	 < < Please select the territorial authority you wish to view here 	  	  	  	  	  	  	  	  	  	  	  	  	  	
		 In order to maintain the accuracy of the charts on the subsequent tabs, do not filter the rest of this table. 	  	  	  	  	  	  	  	  	  	  	  	  	  	
Sum of Value	 Column Labels 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
Row Labels	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
A_Registered dogs (total)	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
all pure and cross breeds	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3 	 2 	 2 	 2 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
Collie, Smooth	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 9,985 	 9,131 	 8,619 	 7,875 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4,660 	 4,288 	 4,029 	 3,719 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 5,325 	 4,843 	 4,590 	 4,156 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 295 	 304 	 283 	 284 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 258 	 275 	 306 	 326 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4 	 4 	 3 	 4 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1 
Greyhound	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,436 	 3,875 	 4,370 	 4,542 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,747 	 1,954 	 2,188 	 2,314 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,689 	 1,921 	 2,182 	 2,228 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,020 	 1,187 	 1,432 	 1,676 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,895 	 2,762 	 3,418 	 3,659 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 11 	 11 	 9 	 7 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1 	 - 0 	 - 0 	 - 0 
Heading	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 17,359 	 17,054 	 18,238 	 18,328 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 8,972 	 8,801 	 9,344 	 9,432 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 8,387 	 8,253 	 8,894 	 8,896 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 884 	 908 	 1,009 	 1,027 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 743 	 824 	 1,005 	 1,098 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1 	 - 0 	 - 0 	 2 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
Huntaway	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 32,593 	 31,385 	 32,315 	 31,548 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 14,739 	 14,238 	 14,602 	 14,271 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 17,854 	 17,147 	 17,713 	 17,277 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,310 	 3,345 	 3,408 	 3,537 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,321 	 2,513 	 2,835 	 3,155 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 15 	 14 	 12 	 12 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2 	 4 	 5 	 3 
Maltese	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,594 	 3,715 	 3,831 	 4,051 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,763 	 1,826 	 1,860 	 1,958 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,831 	 1,889 	 1,971 	 2,093 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,957 	 2,146 	 2,290 	 2,564 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,483 	 2,722 	 2,901 	 3,147 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 4 	 4 	 4 	 4 
1007_classified as dangerous	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
Poodle, Miniature	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
1001_total	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 3,210 	 3,124 	 3,148 	 3,098 
1002_female	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,533 	 1,510 	 1,517 	 1,475 
1003_male	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,677 	 1,614 	 1,631 	 1,623 
1004_de-sexed	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 2,200 	 2,174 	 2,225 	 2,247 
1005_micro-chipped	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 1,862 	 1,977 	 2,113 	 2,237 
1006_classified as menacing	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 	 - 0 
